,ORIGIN_AIRPORT,delay,date
471,MLU,7,2015-12-19
472,MOB,8,2015-12-19
473,MOT,3,2015-12-19
474,MRY,4,2015-12-19
475,MSN,19,2015-12-19
476,MSP,164,2015-12-19
477,MSY,55,2015-12-19
478,MTJ,9,2015-12-19
479,MYR,3,2015-12-19
480,OAJ,1,2015-12-19
481,OAK,33,2015-12-19
482,OGG,38,2015-12-19
483,OKC,29,2015-12-19
484,OMA,21,2015-12-19
485,OME,1,2015-12-19
486,ONT,11,2015-12-19
487,ORD,412,2015-12-19
488,ORF,12,2015-12-19
489,PAH,2,2015-12-19
490,PBI,56,2015-12-19
491,PDX,74,2015-12-19
492,PHF,1,2015-12-19
493,PHL,96,2015-12-19
494,PHX,196,2015-12-19
495,PIA,8,2015-12-19
496,PIH,1,2015-12-19
497,PIT,30,2015-12-19
498,PLN,2,2015-12-19
499,PNS,14,2015-12-19
500,PSC,7,2015-12-19
501,PSE,1,2015-12-19
502,PSG,1,2015-12-19
503,PSP,15,2015-12-19
504,PVD,13,2015-12-19
505,PWM,12,2015-12-19
506,RAP,7,2015-12-19
507,RDM,4,2015-12-19
508,RDU,26,2015-12-19
509,RHI,2,2015-12-19
510,RIC,14,2015-12-19
511,RNO,16,2015-12-19
512,ROA,5,2015-12-19
513,ROC,7,2015-12-19
514,ROW,2,2015-12-19
515,RST,3,2015-12-19
516,RSW,83,2015-12-19
517,SAF,2,2015-12-19
518,SAN,77,2015-12-19
519,SAT,48,2015-12-19
520,SAV,10,2015-12-19
521,SBA,9,2015-12-19
522,SBN,5,2015-12-19
523,SBP,3,2015-12-19
524,SCC,2,2015-12-19
525,SCE,2,2015-12-19
526,SDF,16,2015-12-19
527,SEA,154,2015-12-19
528,SFO,128,2015-12-19
529,SGF,15,2015-12-19
530,SGU,3,2015-12-19
531,SHV,15,2015-12-19
532,SIT,2,2015-12-19
533,SJC,36,2015-12-19
534,SJT,4,2015-12-19
535,SJU,41,2015-12-19
536,SLC,147,2015-12-19
537,SMF,43,2015-12-19
538,SMX,2,2015-12-19
539,SNA,39,2015-12-19
540,SPI,4,2015-12-19
541,SPS,3,2015-12-19
542,SRQ,10,2015-12-19
543,STL,77,2015-12-19
544,STT,13,2015-12-19
545,STX,3,2015-12-19
546,SUX,1,2015-12-19
547,SYR,5,2015-12-19
548,TLH,5,2015-12-19
549,TOL,2,2015-12-19
550,TPA,122,2015-12-19
551,TRI,5,2015-12-19
552,TTN,9,2015-12-19
553,TUL,18,2015-12-19
554,TUS,25,2015-12-19
555,TVC,4,2015-12-19
556,TWF,1,2015-12-19
557,TXK,2,2015-12-19
558,TYR,5,2015-12-19
559,TYS,12,2015-12-19
560,UST,1,2015-12-19
561,VLD,1,2015-12-19
562,VPS,8,2015-12-19
563,WRG,1,2015-12-19
564,XNA,14,2015-12-19
565,YAK,2,2015-12-19
566,YUM,4,2015-12-19
567,ABE,1,2015-12-20
568,ABI,7,2015-12-20
569,ABQ,18,2015-12-20
570,ABR,1,2015-12-20
571,ABY,2,2015-12-20
572,ACT,4,2015-12-20
573,ACY,5,2015-12-20
574,ADK,1,2015-12-20
575,AEX,5,2015-12-20
576,AGS,6,2015-12-20
577,ALB,8,2015-12-20
578,ALO,2,2015-12-20
579,AMA,7,2015-12-20
580,ANC,26,2015-12-20
581,ASE,5,2015-12-20
582,ATL,582,2015-12-20
583,ATW,8,2015-12-20
584,AUS,57,2015-12-20
585,AVL,5,2015-12-20
586,AVP,1,2015-12-20
587,AZO,4,2015-12-20
588,BDL,17,2015-12-20
589,BFL,3,2015-12-20
590,BGM,1,2015-12-20
591,BGR,1,2015-12-20
592,BHM,20,2015-12-20
593,BIL,6,2015-12-20
594,BIS,9,2015-12-20
595,BJI,2,2015-12-20
596,BLI,3,2015-12-20
597,BMI,6,2015-12-20
598,BNA,93,2015-12-20
599,BOI,15,2015-12-20
600,BOS,117,2015-12-20
601,BPT,3,2015-12-20
602,BQK,3,2015-12-20
603,BRD,1,2015-12-20
604,BRO,7,2015-12-20
605,BRW,1,2015-12-20
606,BTR,11,2015-12-20
607,BTV,7,2015-12-20
608,BUF,20,2015-12-20
