,ORIGIN_AIRPORT,count,date
778,LEX,11,2015-12-20
779,LFT,12,2015-12-20
780,LGA,242,2015-12-20
781,LGB,26,2015-12-20
782,LIH,36,2015-12-20
783,LIT,29,2015-12-20
784,LNK,6,2015-12-20
785,LRD,6,2015-12-20
786,LSE,6,2015-12-20
787,LWS,2,2015-12-20
788,MAF,16,2015-12-20
789,MBS,5,2015-12-20
790,MCI,105,2015-12-20
791,MCO,377,2015-12-20
792,MDT,9,2015-12-20
793,MDW,222,2015-12-20
794,MEI,2,2015-12-20
795,MEM,36,2015-12-20
796,MFE,6,2015-12-20
797,MFR,9,2015-12-20
798,MGM,9,2015-12-20
799,MHK,5,2015-12-20
800,MHT,15,2015-12-20
801,MIA,224,2015-12-20
802,MKE,81,2015-12-20
803,MKG,2,2015-12-20
804,MLB,5,2015-12-20
805,MLI,8,2015-12-20
806,MLU,8,2015-12-20
807,MMH,1,2015-12-20
808,MOB,15,2015-12-20
809,MOT,4,2015-12-20
810,MQT,3,2015-12-20
811,MRY,7,2015-12-20
812,MSN,22,2015-12-20
813,MSO,8,2015-12-20
814,MSP,322,2015-12-20
815,MSY,117,2015-12-20
816,MTJ,8,2015-12-20
817,MYR,9,2015-12-20
818,OAJ,4,2015-12-20
819,OAK,125,2015-12-20
820,OGG,69,2015-12-20
821,OKC,49,2015-12-20
822,OMA,55,2015-12-20
823,OME,2,2015-12-20
824,ONT,49,2015-12-20
825,ORD,838,2015-12-20
826,ORF,27,2015-12-20
827,ORH,2,2015-12-20
828,OTH,1,2015-12-20
829,OTZ,2,2015-12-20
830,PAH,2,2015-12-20
831,PBG,1,2015-12-20
832,PBI,91,2015-12-20
833,PDX,153,2015-12-20
834,PHF,3,2015-12-20
835,PHL,198,2015-12-20
836,PHX,460,2015-12-20
837,PIA,14,2015-12-20
838,PIB,1,2015-12-20
839,PIH,2,2015-12-20
840,PIT,65,2015-12-20
841,PLN,2,2015-12-20
842,PNS,18,2015-12-20
843,PSC,10,2015-12-20
844,PSE,3,2015-12-20
845,PSG,2,2015-12-20
846,PSP,32,2015-12-20
847,PVD,31,2015-12-20
848,PWM,16,2015-12-20
849,RAP,9,2015-12-20
850,RDD,2,2015-12-20
851,RDM,7,2015-12-20
852,RDU,93,2015-12-20
853,RHI,3,2015-12-20
854,RIC,39,2015-12-20
855,RKS,2,2015-12-20
