,MONTH,DAY,ORIGIN_AIRPORT,count,year,date
299,12,18,VLD,3,2015,2015-12-18
300,12,18,VPS,16,2015,2015-12-18
301,12,18,WRG,2,2015,2015-12-18
302,12,18,XNA,32,2015,2015-12-18
303,12,18,YAK,2,2015,2015-12-18
304,12,18,YUM,6,2015,2015-12-18
305,12,19,ABE,3,2015,2015-12-19
306,12,19,ABI,6,2015,2015-12-19
307,12,19,ABQ,43,2015,2015-12-19
308,12,19,ABR,2,2015,2015-12-19
309,12,19,ABY,2,2015,2015-12-19
310,12,19,ACT,5,2015,2015-12-19
311,12,19,ACV,5,2015,2015-12-19
312,12,19,ACY,10,2015,2015-12-19
313,12,19,ADQ,1,2015,2015-12-19
314,12,19,AEX,9,2015,2015-12-19
315,12,19,AGS,6,2015,2015-12-19
316,12,19,ALB,23,2015,2015-12-19
317,12,19,ALO,1,2015,2015-12-19
318,12,19,AMA,8,2015,2015-12-19
319,12,19,ANC,45,2015,2015-12-19
320,12,19,APN,1,2015,2015-12-19
321,12,19,ASE,28,2015,2015-12-19
322,12,19,ATL,963,2015,2015-12-19
323,12,19,ATW,9,2015,2015-12-19
324,12,19,AUS,114,2015,2015-12-19
325,12,19,AVL,7,2015,2015-12-19
326,12,19,AVP,4,2015,2015-12-19
327,12,19,AZO,4,2015,2015-12-19
328,12,19,BDL,48,2015,2015-12-19
329,12,19,BET,2,2015,2015-12-19
330,12,19,BFL,6,2015,2015-12-19
331,12,19,BGM,1,2015,2015-12-19
332,12,19,BHM,28,2015,2015-12-19
333,12,19,BIL,9,2015,2015-12-19
334,12,19,BIS,12,2015,2015-12-19
335,12,19,BJI,2,2015,2015-12-19
336,12,19,BLI,3,2015,2015-12-19
337,12,19,BMI,8,2015,2015-12-19
338,12,19,BNA,112,2015,2015-12-19
339,12,19,BOI,40,2015,2015-12-19
340,12,19,BOS,245,2015,2015-12-19
341,12,19,BPT,3,2015,2015-12-19
342,12,19,BQK,2,2015,2015-12-19
343,12,19,BQN,5,2015,2015-12-19
344,12,19,BRD,1,2015,2015-12-19
345,12,19,BRO,7,2015,2015-12-19
346,12,19,BRW,3,2015,2015-12-19
347,12,19,BTM,2,2015,2015-12-19
348,12,19,BTR,19,2015,2015-12-19
349,12,19,BTV,11,2015,2015-12-19
350,12,19,BUF,44,2015,2015-12-19
351,12,19,BUR,47,2015,2015-12-19
352,12,19,BWI,223,2015,2015-12-19
353,12,19,BZN,19,2015,2015-12-19
354,12,19,CAE,11,2015,2015-12-19
355,12,19,CAK,16,2015,2015-12-19
356,12,19,CDC,1,2015,2015-12-19
357,12,19,CDV,2,2015,2015-12-19
358,12,19,CHA,9,2015,2015-12-19
359,12,19,CHO,7,2015,2015-12-19
360,12,19,CHS,32,2015,2015-12-19
361,12,19,CID,17,2015,2015-12-19
362,12,19,CIU,2,2015,2015-12-19
363,12,19,CLE,82,2015,2015-12-19
364,12,19,CLL,5,2015,2015-12-19
365,12,19,CLT,276,2015,2015-12-19
366,12,19,CMH,59,2015,2015-12-19
367,12,19,CMI,5,2015,2015-12-19
368,12,19,CMX,2,2015,2015-12-19
369,12,19,COD,2,2015,2015-12-19
370,12,19,COS,21,2015,2015-12-19
371,12,19,COU,4,2015,2015-12-19
372,12,19,CPR,5,2015,2015-12-19
373,12,19,CRP,11,2015,2015-12-19
374,12,19,CRW,6,2015,2015-12-19
375,12,19,CSG,2,2015,2015-12-19
376,12,19,CVG,54,2015,2015-12-19
377,12,19,CWA,3,2015,2015-12-19
378,12,19,DAB,5,2015,2015-12-19
379,12,19,DAL,157,2015,2015-12-19
380,12,19,DAY,19,2015,2015-12-19
381,12,19,DBQ,2,2015,2015-12-19
382,12,19,DCA,161,2015,2015-12-19
383,12,19,DEN,590,2015,2015-12-19
384,12,19,DFW,653,2015,2015-12-19
385,12,19,DHN,3,2015,2015-12-19
386,12,19,DLH,5,2015,2015-12-19
387,12,19,DRO,7,2015,2015-12-19
